,BG_CGE_ADARB2_NPY_Inh,BG_CGE_ADARB2_NR2F2_Inh,BG_CGE_ADARB2_VIPR1_Inh,BG_CGE_RELN_LAMP5_Inh,BG_LGE_FOXP2_SLIT2_Inh,BG_LGE_PCP4_DRD1_Inh,BG_LGE_PCP4_DRD2_Inh,BG_LGE_PCP4_EBF1_Inh,BG_LGE_PCP4_IL17REL_Inh,BG_LGE_PCP4_SLC1A3_Inh,BG_MGE_SST_NPY_Inh,BG_MGE_SST_PVALB_Inh,BG_MGE_SST_SATB1_Inh,BG_MGE_SST_SCUBE1_Inh,BG_MGE_SST_ST18_Inh,BG_RELN_LHX8_Inh,BG_SNCG_NRP1_Inh
MM_Sncg Jam2 Npy2r,0.007921123130847587,0.01757960893128434,0.007959946447031796,0.00332188077830943,0.016601626188804657,0.0033296956249056703,0.010339722009698323,0.008241960564423317,0.0018445168504811111,0.10166204368592605,0.0012134750883013993,0.0010535346071832688,0.0013833141931712178,0.0007561515795037769,0.0010566866446840033,0.006826959417436029,0.004481911460961961
MM_Sncg Krt73,0.01952823880766671,0.0035219194948217917,0.006478411686372247,0.0019094788390974751,0.006382296716221284,0.0003350066085746675,0.0018260627741895636,0.003910758156596333,0.0010529098913988906,0.2939131793200124,0.0058121722987451545,0.0018665727420066262,0.0011778501385382972,0.00631368701106895,0.00017437844333581396,0.009250558879840911,0.0054035773228730795
MM_Sncg Serpinf1,0.001742496657005577,0.006634267144167612,0.002070732771432943,0.09056166126612855,0.011829867914529089,0.0016035076030427257,0.009648127983160625,0.009983516167589359,0.0008463826351396815,0.07144806631273673,0.0012451406449001108,0.004354249348522384,0.002809300193414062,0.0005644309637401237,0.005638556077443087,0.0007004918341452868,0.0033437277400068777
MM_Sst Calb2,0.09085931590507917,0.0013855087030345647,0.03140628136507297,0.00015472891997161413,0.011292113725823508,0.03398138535677147,0.013726989886488664,0.03800486589555233,0.014866762497490124,0.011499084160723197,0.005508384830575192,0.002906139760043982,0.003603023315595711,0.005493982411993103,0.0005970893053340715,0.006469142572872659,0.0023877849319549646
MM_Sst Chodl,0.06766596426265932,0.003994888306347954,0.010689962947710376,0,0.012260792131065554,0.00048521036494767936,0.0037148211640432144,0.009111889148550475,0.001592385457936097,0.01692429197035878,0.006180226666899458,0.0025798453044845503,0.0033302002301084732,0.25684049231697564,0.0008673830966267869,0.002909894778074752,0.004808092743949685
MM_Sst Crh,0.048237043866575006,0.0007326461901149058,0.01644845470843751,0.00037927140741787194,0.011136738145016648,0.011650361588308577,0.004832614012544131,0.010988754677375166,0.0012266709633800793,0.00995511804821368,0.012505278276263326,0.02142668089824764,0.017264355237439015,0.00016100711934766344,0.001673757473583784,0.010329151622914156,0.003323303070667801
MM_Sst Ctsc HPF,0.035047427675449244,0.006619647907346639,0.019496530105965346,0.0001178360737688846,0.024236281142581476,0.004356270343631678,0.004125040109255306,0.018796312960641777,0.005779731782388892,0.006187483414118377,0.005915276048382852,0.006659379247030415,0.014433769873451702,0.0007080056028332057,0.0004274168153375497,0.0070162885110238256,0.003955650998144109
MM_Sst Etv1,0.07008655836448735,0.0005550526023145995,0.07771202400952057,5.2193758811325006e-05,0.013487256532948471,0.014704307282627694,0.01235215446212606,0.013397318700674659,0.0034675540215141575,0.005010707255491275,0.009472173473062572,0.0027755426128489324,0.007933218235180808,0.0003896634989204944,0.00034088230277492794,0.003922428138782052,0.002119371935345106
MM_Sst Hpse,0.054696938913147995,0.0004610102295021328,0.011000922042883273,0.00023338384045346562,0.005033583507545525,0.11496491501251309,0.03532265980889221,0.06852763549607108,0.04732935336726489,0.014360369369270137,0.0031236781948098674,0.0010874907897384044,0.0043585629218801745,0.0002996282549995417,0.0009190711149908864,0.001570940145134841,0.0007388128930606287
MM_Sst Lmo1 HPF,0.04742878637166974,0.002250428268276906,0.029105916907098524,0.00034342195262020045,0.015997620207692364,0.0037859894187627545,0.004130914677990896,0.010398780891973622,0.0014527853166016033,0.01236883477689065,0.009185724419722967,0.005718085201675676,0.012810769147086959,0.003682477368354483,0.0007992463162165179,0.009143603539491146,0.00655851462356746
