"","CACNA1H_NRP1_Ex","CACNA1H_SLIT1_Ex","CACNA1H_ZBTB20_Ex","CGE_ADARB2_NPY_Inh","CGE_ADARB2_NR2F2_Inh","CGE_ADARB2_VIPR1_Inh","CGE_RELN_LAMP5_Inh","DACH2_BDNF_Ex","DACH2_CCN2_Ex","DACH2_CHD7_Ex","DACH2_GRIK1_Ex","DACH2_LYPD1_Ex","DACH2_MEIS2_Ex","DACH2_NDST4_Ex","DACH2_SV2C_Ex","DACH2_TAC1_Ex","DACH2_ZNF381_Ex","LGE_FOXP2_SLIT2_Inh","LGE_PCP4_DRD1_Inh","LGE_PCP4_DRD2_Inh","LGE_PCP4_EBF1_Inh","LGE_PCP4_IL17REL_Inh","LGE_PCP4_SLC1A3_Inh","MGE_SST_NPY_Inh","MGE_SST_PVALB_Inh","MGE_SST_SATB1_Inh_","MGE_SST_SCUBE1_Inh","MGE_SST_ST18_Inh","RELN_LHX8_Inh","SATB2_BCL6_Ex","SATB2_CCK_Ex","SATB2_FOXP2_Ex","SATB2_GLRA3_Ex","SATB2_KIAA1217_Ex","SATB2_RARB_Ex","SATB2_SCUBE1_Ex","SATB2_TAC1_Ex","SATB2_TFAP2D_Ex","SATB2_ZNF385B_Ex","SNCG_NRP1_Inh"
"32641751456900",3.57482830806788e-05,3.57482830807126e-05,3.57482830807218e-05,3.57482830807095e-05,3.57482830807091e-05,3.57482830806152e-05,3.57482831118717e-05,0.367271458443185,3.57482830807038e-05,0.0743091666846379,0.0962969262655079,3.57482830807032e-05,0.334044805509056,0.00647093231659512,3.57482830807123e-05,3.57482834333907e-05,4.02351903248232e-05,3.57482830807041e-05,3.57482830034097e-05,3.57482830807087e-05,3.5748283080724e-05,0.0318666884573984,3.57482830807114e-05,3.57482830807261e-05,3.57482830807132e-05,3.57482830807067e-05,0.00632160540286019,3.57482830807452e-05,3.57482830807161e-05,3.57482830806268e-05,3.5748283080678e-05,3.57482830807657e-05,3.57482830807238e-05,3.57482830806869e-05,3.57482830807352e-05,0.0362147053340206,3.64586968913125e-05,3.57482830807065e-05,3.57482830806769e-05,0.0460903174898761
"39513699129900",3.40164100003773e-05,3.40164100003923e-05,0.0781106175330755,3.40164100004212e-05,3.4016410000422e-05,0.0649262589087077,3.40164099052302e-05,3.40164100004232e-05,3.4016410000418e-05,3.40164100004195e-05,3.40164100004062e-05,3.40164100004418e-05,0.339177693975393,3.40164100004468e-05,3.40164100004197e-05,0.0115888857906916,3.4016410000443e-05,3.4016410000403e-05,3.4016410000421e-05,3.4016410000421e-05,3.40164100004365e-05,3.40164100004114e-05,0.171110453754427,3.40164100004197e-05,0.000996995031745339,3.40164100004235e-05,3.40164100004204e-05,0.0111184334152214,3.40164100004196e-05,3.40164100004195e-05,0.0170014262942821,0.0646072072273161,3.40164100004316e-05,3.40164100004214e-05,3.40164100004109e-05,0.00509196793616687,3.40164100004085e-05,3.40164100004156e-05,3.40164100003777e-05,0.235283584243056
"39513699134100",5.61503339721516e-05,5.61503339721422e-05,5.61503339721409e-05,5.61503341598526e-05,5.6150333972138e-05,5.61503339721936e-05,0.0491670965694644,0.0662133780540236,5.61503339721211e-05,5.61503339721598e-05,5.61503339721424e-05,5.61503339721406e-05,0.629367766151237,5.61503339721404e-05,5.61503339721404e-05,0.00016510216077532,5.61503339721306e-05,0.106074626050379,5.61503339721072e-05,0.00182991144672152,5.61503339721463e-05,5.61503339721674e-05,0.00969541787761674,5.61503339720606e-05,0.0752799684226345,5.61503339721458e-05,0.0120665855585423,5.61503339721466e-05,5.61503339721488e-05,5.61503339720914e-05,5.61503339721425e-05,5.6150333972135e-05,5.61503339721282e-05,0.0064992752606669,5.61503339721408e-05,5.61503339722291e-05,0.0230456272695994,0.017436382292222,5.61503339721295e-05,0.00164280386868134
"39084202403400",5.35014628776882e-05,0.0274420898784232,5.35014628777224e-05,5.3501462877713e-05,5.35014628777129e-05,5.35014628777131e-05,5.35014635089602e-05,0.0185342351734938,5.3501462877706e-05,5.3501462877694e-05,5.35014628777146e-05,0.133674927329204,0.35092058388658,5.35014628777425e-05,5.35014628778179e-05,5.35014627902611e-05,5.35014628777614e-05,0.0499240455139939,5.35014628366484e-05,5.3501462877713e-05,5.35014628776686e-05,0.0720416186648911,0.04578692602913,0.0795022845035731,5.35014628777213e-05,5.35014628776771e-05,5.35014628777141e-05,5.35014628777466e-05,5.35014628777136e-05,5.35014628777831e-05,5.35014628777154e-05,5.35014628777314e-05,0.0755991301140378,5.35014628777102e-05,5.35014628777119e-05,5.35014628777265e-05,5.35014628770716e-05,5.35014628777561e-05,0.0519790124948627,0.0930436039878537
"39943195857500",3.78195914291139e-05,3.78195914291058e-05,3.78195914291411e-05,0.0214717432291308,3.78195914291143e-05,3.78195914291154e-05,0.00434511303487998,0.250851488630939,3.78195914290935e-05,3.78195914291122e-05,3.78195914291105e-05,3.78195914291102e-05,0.245422011161213,0.0245129512569182,3.78195914291139e-05,3.78195915483181e-05,3.78195914291147e-05,0.0328215390470269,3.78195914722758e-05,3.78195914291143e-05,3.78195914291168e-05,0.0245844740709165,3.78195914291212e-05,3.7819591429115e-05,3.7819591429119e-05,0.0216729520804205,3.78195914291152e-05,3.78195914290918e-05,0.0473923130237454,3.78195914291086e-05,3.78195914291102e-05,0.012385176029914,3.78195914291164e-05,3.7819591429114e-05,0.0537016052068006,3.78195914290971e-05,3.78195914289997e-05,3.78195914289994e-05,3.78195914291327e-05,0.259779684667918
"40372692590900",5.15321597755587e-05,5.15321597755479e-05,5.15321597755463e-05,5.15321597735771e-05,5.15321597755387e-05,5.15321597755583e-05,0.00611717428445861,0.059583315579928,5.15321597755408e-05,0.0345326286174864,0.0897841878652041,5.15321597755399e-05,0.451223712926663,0.0150629076129772,0.0326809841995761,5.15321597760151e-05,5.1532159775553e-05,5.15321597755465e-05,5.15321597754368e-05,5.15321597755482e-05,5.15321597755411e-05,0.00390778817041755,5.15321597755418e-05,5.15321597754893e-05,5.15321597755401e-05,5.15321597755518e-05,0.00756800431164773,5.15321597755667e-05,5.15321597755406e-05,0.00378814590643674,5.15321597755419e-05,0.00487544741509976,5.15321597755395e-05,5.15321597755383e-05,5.15321597755251e-05,0.0413114233930581,5.15321597755164e-05,5.15321597755453e-05,5.15321597755414e-05,0.248172911403108
"38654705671300",3.53704760177432e-05,3.53704760177814e-05,0.0275534290398477,3.53704760177744e-05,3.53704760177742e-05,3.53704760178113e-05,3.53704763237196e-05,0.13485184496421,0.0152815903571512,3.53704760177693e-05,3.53704760177352e-05,3.5370476017777e-05,0.405383767665071,0.00933722915012206,3.53704760177992e-05,3.53704760177739e-05,0.0249200477509014,3.53704760177941e-05,3.53704760177734e-05,3.53704759994968e-05,0.00192122963705111,3.53704760178012e-05,0.145923847797099,0.0121229751473312,3.53704760177849e-05,3.53704760177544e-05,3.5370476017774e-05,3.53704760177947e-05,3.53704760177742e-05,3.53704760177446e-05,3.53704760177739e-05,3.5370476017775e-05,3.5370476017766e-05,0.0991209006789149,3.53704760177736e-05,0.0417991512171724,3.53704760178116e-05,3.53704760177726e-05,3.53704760177775e-05,0.0807936132663432
"40802189317100",3.31476483143912e-05,3.31476483144371e-05,3.31476483143403e-05,3.31476483143983e-05,3.31476483143819e-05,3.31476483143942e-05,0.0744438102769386,0.114791466667527,3.3147648314338e-05,3.3147648314369e-05,3.31476483144539e-05,3.31476483143927e-05,0.307457866486354,3.31476483143958e-05,0.0448642725349083,3.31476487917049e-05,0.112756473959469,3.31476483143914e-05,3.3147648085386e-05,3.31476483143964e-05,3.31476483143931e-05,3.3147648314406e-05,0.0580004150573074,0.051539197374218,3.31476483143954e-05,3.3147648314399e-05,3.3147648314392e-05,3.31476483143466e-05,3.31476483144042e-05,3.31476483143958e-05,0.0250646493534877,3.31476483143953e-05,3.31476483144474e-05,3.31476483144007e-05,3.31476483143965e-05,0.0183336127240228,3.31476483143097e-05,3.31476483144183e-05,3.3147648314437e-05,0.191753806116088
"41231686046500",3.81821873261823e-05,0.116080114306419,0.0130263636537097,3.81821873262475e-05,0.0786657082377103,3.81821873262475e-05,3.81821873054564e-05,3.81821873262429e-05,3.81821873261845e-05,3.81821873262948e-05,3.81821873262294e-05,0.0271302196716824,0.549094024890982,3.81821873262355e-05,0.0389882175621255,3.81821873262389e-05,3.81821873262478e-05,3.8182187326246e-05,3.818218731134e-05,0.0235303024360147,0.0196622131603291,3.81821873262967e-05,3.81821873262483e-05,3.8182187326244e-05,3.81821873262478e-05,3.81821873262487e-05,0.0627621161552686,3.8182187326248e-05,0.0319757658619633,3.81821873262678e-05,3.81821873262986e-05,3.81821873262525e-05,3.81821873262453e-05,3.81821873262319e-05,3.81821873262676e-05,3.81821873262253e-05,3.81821873250825e-05,3.81821873261919e-05,3.81821873262206e-05,0.0379776706313717
"34359738375200",5.45887627962723e-05,5.45887627961857e-05,5.45887627963028e-05,5.45887627962639e-05,5.45887627962407e-05,5.45887627962092e-05,0.00429414643224497,0.0542610680350097,0.0397671341678231,5.45887627962586e-05,0.0760826493714798,5.45887627962077e-05,0.41553412299493,5.45887627962397e-05,5.45887627962517e-05,5.45887628302458e-05,5.458876279627e-05,0.0103507176638644,5.45887627962383e-05,5.4588762745605e-05,5.45887627962377e-05,5.4588762796225e-05,5.45887627962387e-05,0.0301167743772904,0.0514321163098835,5.45887627962402e-05,5.45887627976426e-05,5.45887627962384e-05,0.0563801472247732,5.45887627962333e-05,0.0803527595600956,5.45887627962409e-05,5.45887627962393e-05,0.0193835294549442,5.45887627962043e-05,5.45887627962408e-05,5.45887627962225e-05,5.45887627962574e-05,5.45887627962515e-05,0.160516349049381
